"PROBE_NAME","ACCNUM","SYMBOL","DESC","ACHROMOSOME","normal1","normal2","normal3","normal4","normal5","normal6","normal7","cancer1","cancer2","cancer3","cancer4","cancer5","cancer6","cancer7"
"156_s_at","U64871","GPR19","G protein-coupled receptor 19",12,127.3,283.3,675.3,144.1,577.3,318,361.5,109.7,42.8,60.4,120,114.4,47.1,90
"1570_f_at","L49219","RB1","retinoblastoma 1",13,40.2,48.5,177.4,51,60.6,268.3,21.5,5.1,3.8,4.8,7.2,4.5,6.5,6.5
"1571_f_at","L49229","RB1","retinoblastoma 1",13,28.9,17.5,920.9,113.3,52.4,16.4,136.3,17.3,67.5,2.2,12.2,47.8,35.1,13.7
"1572_s_at","M10051","INSR","insulin receptor",19,96.1,61.9,39,265.9,236.6,313.8,390.8,46,62.1,16.2,108,106.4,177.8,89.8
"1573_at","M12783","PDGFB","platelet-derived growth factor beta polypeptide",22,61.6,1181,330.4,217.7,366.9,260.2,705.2,309.6,32.2,226.6,52.5,377.4,36.4,48.1
"1574_s_at","M13982","IL4","interleukin 4",5,173.6,515.7,1611.5,605.4,990.1,387.8,535.9,149.3,94.6,82.4,120.7,218.1,63.8,91
"1575_at","M14758","ABCB1","ATP-binding cassette, sub-family B (MDR/TAP), member 1",7,24.3,186.2,470.9,128.2,791.3,534.4,262.1,21.9,54.7,84.5,64.1,137.6,39.4,134.6
"1576_g_at","M14758","NA","NA","NA",23,79.4,124,45,151,89.4,89.6,17.6,20.3,35.2,14.2,25,18.1,80.3
"1577_at","M23263","AR","androgen receptor","X",25.8,1066.7,58.3,41.9,1186.5,458.3,282.2,31.6,27,131.8,141.2,95.8,22.1,74.6
"1578_g_at","M23263","AR","androgen receptor","X",91.9,428.1,124.8,236.9,631.8,285.8,280.3,107.3,122.1,61.5,67.3,138.6,74.4,128.9
"1579_at","M27288","OSM","oncostatin M",22,19.2,29.2,116.5,67.3,64.3,71.6,69.3,40.8,8.3,12,15.4,11.2,14.9,15
"157_at","U65011","PRAME","preferentially expressed antigen in melanoma",22,188.1,33.3,106.3,36,20.2,88.5,19.5,3889.9,539.7,3.8,15.8,18.6,1301.8,9
"1580_f_at","M27318","IFNA4","interferon, alpha 4",9,8.8,55.2,263.3,68.8,63.7,127.4,97.4,4.2,7.4,3.4,14.4,11.2,10.4,12
"1581_s_at","M27504","TOP2B","topoisomerase (DNA) II beta 180kDa",3,3.6,132.2,122.7,144.9,351.6,174.3,20.6,43.6,335.5,23.2,43.2,5.1,101.2,197.4
"1582_at","M29540","CEACAM5","carcinoembryonic antigen-related cell adhesion molecule 5",19,46.9,741.9,206.4,196.7,1279.2,797.6,752.3,49.6,49.6,14,124.8,206.8,89.7,165
"1583_at","M32315","TNFRSF1B","tumor necrosis factor receptor superfamily, member 1B",1,396.5,1248.6,1613.1,790.1,1461.8,952.2,925.1,404.9,224.5,372.4,511.9,865.3,212.2,357.1
"1584_at","M34065","CDC25C","cell division cycle 25 homolog C (S. pombe)",5,139.5,284.4,78.2,231.2,522.8,313.3,201.4,378.2,59.4,99.9,194,39.9,96.9,87
"1585_at","M34309","ERBB3","v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)",12,46.9,223.1,266.1,24.7,258.7,230.5,388.5,15.9,15.2,27.2,10.8,908.9,14.2,32.7
"1586_at","M35878","IGFBP3","insulin-like growth factor binding protein 3",7,469.7,194.9,184.3,349.5,328.5,752.4,395.5,492.8,634.3,1139.1,354.6,450.8,84.2,114
"1587_at","M38258","RARG","retinoic acid receptor, gamma",12,205,416.8,143.6,117.3,765.2,353.4,790.1,275.2,205.9,345.1,405.3,109.2,321.5,312.8
"1588_at","L42243","IFNAR2","interferon (alpha, beta and omega) receptor 2",21,148.8,90.6,514,47.8,59.2,86.2,219.7,100.8,93.1,70.3,61.5,120.9,28.9,112.9
"1589_s_at","L42243","IFNAR2","interferon (alpha, beta and omega) receptor 2",21,85.3,39.5,116.6,30.4,67.3,27.5,62.2,103.3,227.6,12.2,14,13.5,66.2,48
"158_at","U40992","DNAJB4","DnaJ (Hsp40) homolog, subfamily B, member 4",1,57.1,36.7,670.6,76.2,145.4,304,31.6,44.3,209.3,32.3,29.5,93,39.7,158.5
"1590_s_at","J00277","HRAS","v-Ha-ras Harvey rat sarcoma viral oncogene homolog",11,246.8,198.5,488.8,85.9,450.4,82,253.3,395.4,444.2,224.4,464,452.4,746,371.4
"1591_s_at","J03242","NA","NA","NA",16.1,84.7,140.6,130.8,85.7,47.6,169.2,28.7,36.8,8.7,20.4,17.3,62.8,16.3
"1592_at","J04088","TOP2A","topoisomerase (DNA) II alpha 170kDa",17,84.1,472.1,337.3,513.2,354.8,287.6,270.1,266.7,556.5,183.5,70.7,88.6,406.9,1317.7
"1593_at","J04513","FGF2","fibroblast growth factor 2 (basic)",4,41,197,188.5,36.2,60.1,254.8,25.7,30.1,28.4,43,7.2,87.6,15.4,9.9
"1594_at","J05448","POLR2C","polymerase (RNA) II (DNA directed) polypeptide C, 33kDa",16,993.4,848.1,1113.2,334.7,742.2,856.2,585.2,1272.4,469.6,648.1,451.1,1116.8,815.6,604.4
"1595_at","L06139","TEK","TEK tyrosine kinase, endothelial",9,23.7,836.3,197.9,409.3,787.7,423.2,233.8,193.4,155.6,106.3,182.5,243.2,101.7,178.8
"1596_g_at","L06139","TEK","TEK tyrosine kinase, endothelial",9,641.4,23.1,1220.9,77.2,537.7,91.2,334.9,100.1,83.3,335.3,190.7,2987.3,55.3,88
"1597_at","L13720","GAS6","growth arrest-specific 6",13,46.7,94.7,124.9,43.2,158.1,118,73.1,24.8,37.5,100.5,18.8,1359.6,92.5,33.9
"1598_g_at","L13720","GAS6","growth arrest-specific 6",13,1352.3,4102.9,2465.2,1155.9,4422.7,2074.8,2894.4,876,847.7,1448.8,1144.9,6330,903.5,617.3
"1599_at","L25876","CDKN3","cyclin-dependent kinase inhibitor 3",14,369.2,57.3,158.8,29.4,80,60.3,319.1,537.7,90,286.9,237.1,14.5,163.3,404.8
"159_at","U43142","VEGFC","vascular endothelial growth factor C",4,57,29.2,65.8,23.5,52.7,37.7,35.6,7.8,7.7,14.2,4.5,24.6,7.8,16.5
"1600_at","L27071","TXK","TXK tyrosine kinase",4,17.4,563.1,172.9,65.5,820.6,217.4,303.5,77,81.8,41,76.4,108.8,52.5,79.7
"1601_s_at","L27559","IGFBP5","insulin-like growth factor binding protein 5",2,21.5,45.7,51.8,55.6,73.6,71.7,17,13.9,4.5,8.6,9.4,23.7,5.6,14
"1602_at","L33881","PRKCI","protein kinase C, iota",3,70.7,30.8,606.6,129.5,84.9,335.5,132.2,61.8,62.3,60.8,51.8,359.2,334.1,270.6
"1603_g_at","L33881","PRKCI","protein kinase C, iota",3,27.4,157.5,507.1,119.6,47.6,225.6,158.7,93.8,63.5,37,34.3,133.5,156.6,124.8
"1604_at","L36644","EPHA5","EPH receptor A5",4,76.8,186.3,151.5,87.5,294.1,177.5,66,18.9,7.7,17.4,39.3,15.2,45.1,61
"1605_g_at","L36644","EPHA5","EPH receptor A5",4,6.4,49.2,74.9,49.3,77,79.5,45.5,9.5,24,5.8,55.3,26.5,108.4,13.4
"1606_at","L36645","EPHA4","EPH receptor A4",2,31,133.1,130.3,38,123.7,217.3,104.7,23.2,268,18.9,9.7,18.2,701.5,39.4
"1607_at","L36844","CDKN2B","cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",9,8.4,41.6,101.1,114.5,28.4,65.3,50.8,10.3,5.4,4.5,8.6,9.1,6.4,9.4
"1608_at","HG4272-HT4542","MET","met proto-oncogene (hepatocyte growth factor receptor)",7,48.4,1692.9,257.2,677.6,2051.5,1344,1021,151.3,174.1,149.7,269.3,131.3,53,34.1
"1609_g_at","HG4272-HT4542","MET","met proto-oncogene (hepatocyte growth factor receptor)",7,66.5,147.2,148.6,107.6,394.6,357.7,218.4,76.8,30.6,15.1,20.2,69.9,48.8,34.8
"160_at","U43899","STAM","signal transducing adaptor molecule (SH3 domain and ITAM motif) 1",10,474.6,467,427.8,29.8,190.5,270.4,274.6,419.6,724.6,431.4,173.6,218.8,507.6,416.1
"1610_s_at","J00139","DHFR","dihydrofolate reductase",5,57,20.5,345.2,82.6,59.2,270.8,29.9,46.4,19.6,7.2,67.7,7.6,6.6,50.3
"1611_s_at","J00219","IFNG","interferon, gamma",12,39.7,202.4,511.6,37.5,374.3,99.3,176.1,18.2,17,25.3,16.6,77.1,30,44.8
"1612_s_at","X56681","JUND","jun D proto-oncogene",19,18519.3,3816.6,12146.3,39288,1414.9,4993.9,9177.9,7123.4,7268.4,9245.4,13039.8,21551.8,9611.8,3042.5
"1613_s_at","X63546","USP6","ubiquitin specific peptidase 6 (Tre-2 oncogene)",17,49.8,382.3,350,189.7,292.9,349,259.6,43.3,41.4,26,55.8,106,30.7,81.3
"1614_s_at","X63546","USP6","ubiquitin specific peptidase 6 (Tre-2 oncogene)",17,71.1,136.1,113.1,57.8,194.5,51.3,72.5,127.5,206.2,65.6,9.1,20.8,148.5,81.9
"1615_at","Z23115","BCL2L1","BCL2-like 1",20,157.1,617.7,51.9,70,314.5,373,684.7,155.3,217.5,131.6,36.4,96.7,128.9,78.2
"1616_at","D14838","FGF9","fibroblast growth factor 9 (glia-activating factor)",13,5.2,667.7,211.8,196,553.5,343.9,530,277,27.6,43,34,213,42.6,75.5
"1617_at","D21205","TRIM25","tripartite motif containing 25",17,36.2,241.5,145.6,273,237.2,947.2,162.6,73,150.8,28.5,33.2,43,28.5,17.4
"1618_at","D21241","CYP19A1","cytochrome P450, family 19, subfamily A, polypeptide 1",15,5,33.6,47.5,125,18.2,13.8,63.1,16.1,1.2,1.1,6.3,8.9,9,9.7
"1619_g_at","D21241","CYP19A1","cytochrome P450, family 19, subfamily A, polypeptide 1",15,102.4,834.1,124.5,206.1,238.7,148.3,821.2,32.7,63.7,18.1,65.9,253.8,97.9,120.6
"161_at","U44105","RAB9BP1","RAB9B, member RAS oncogene family pseudogene 1",5,2.2,55.7,86.2,28.4,93.9,57.3,30.5,2.3,3.2,7.9,3.3,24.7,20.9,7.3
"1620_at","D31784","CDH6","cadherin 6, type 2, K-cadherin (fetal kidney)",5,5.7,95,555,55.2,56.8,46.7,61.2,8.7,6.3,36.1,13.3,14,8,7
"1621_at","D85423","CDC5L","CDC5 cell division cycle 5-like (S. pombe)",6,14,17.5,778,14.2,25.3,143,16.5,4,27.3,5.9,4.7,13.3,5.4,9.3
"1622_at","D87116","MAP2K3","mitogen-activated protein kinase kinase 3",17,360.8,555.4,331.6,635.1,196.6,218.8,366.9,507.6,302.9,404.2,853.1,545,386.4,205.2
"1623_s_at","HG1761-HT1778","FER","fer (fps/fes related) tyrosine kinase",5,8.2,174.8,150.1,216.4,22.4,55.8,48.3,14.1,5.3,7.7,26.4,18.6,8.6,50
"1624_at","HG2036-HT2090","RAP1GDS1","RAP1, GTP-GDP dissociation stimulator 1",4,75.4,38.3,154.8,172.8,465.9,474.1,203.6,164,344.4,95,160.6,138,113.3,429
"1625_at","HG2309-HT2405","IGF1","insulin-like growth factor 1 (somatomedin C)",12,105.4,75.7,191.7,43.8,70.6,204.4,101.8,59.5,2.7,72.2,21.1,108.9,27.3,92.3
"1626_at","HG2714-HT2810","MUSK","muscle, skeletal, receptor tyrosine kinase",9,9.4,79.2,106.9,43.9,125.1,129.7,200.2,41.2,61.3,52.6,66.4,18.1,10.5,74.7
"1627_at","HG2715-HT2811","NA","NA","NA",249.9,2700.1,1208.6,1060.9,3143.5,3017.6,1968.4,378.6,393.3,425.8,437.3,332.4,300.6,581.4
"1628_at","HG3175-HT3352","NA","NA","NA",27.4,393.9,307.8,363.6,674.8,268.1,442.2,43.8,65.4,33.1,18.1,73.2,38.7,174.7
"1629_s_at","HG3187-HT3366","PTPN13","protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",4,1033.6,458.1,1140.2,639.9,120.4,621.4,421.4,774.6,2144.8,3507.4,600.5,519.5,2820.5,2147.1
"162_at","U44839","USP11","ubiquitin specific peptidase 11","X",3026.6,6960.1,2145.5,3538.7,6169.1,7640.6,6451.1,3396.7,4195.1,2996.1,3058.9,2779.9,7564,4901.6
"1630_s_at","HG3730-HT4000","SYK","spleen tyrosine kinase",9,331.2,499.9,3263.8,958.6,1068.4,719.9,469.5,814.1,242.5,220.8,402.1,532.2,343.1,429.5
"1631_at","HG3942-HT4212","NA","NA","NA",49.6,153.6,377.9,147.5,189.5,128.6,96.1,31.3,32.9,21.8,38.9,59.3,16.3,44.6
"1632_at","HG3999-HT4269","NA","NA","NA",295.8,195.3,487.4,741.8,995.8,804.6,723.5,170.7,116.4,176.6,135.7,36.7,47.2,249.2
"1633_g_at","U77735","PIM2","pim-2 oncogene","X",498.4,944.8,1011.2,380.6,1080.4,764.5,766.6,547.6,417.6,375.7,272.4,748,434.2,221.4
"1634_s_at","X05839","TGFB1","transforming growth factor, beta 1",19,6.4,49.9,684.2,54.3,58.1,45.4,42,15.7,6.4,3.9,8.9,7,2.3,11.7
"1635_at","U07563","ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",9,241.5,96,76.2,200.4,140.9,69.6,65.9,1411.7,1580.5,204.1,66,185.9,1546.2,1797.8
"1636_g_at","U07563","ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",9,1184.5,1750.7,1273.9,675.6,1128.8,1486.8,1930.4,3257.6,2133.9,1379.7,1277.2,1410.6,2438,2845.2
"1637_at","U09578","MAPKAPK3","mitogen-activated protein kinase-activated protein kinase 3",3,436.5,138.5,934.6,596.7,228.3,140.5,156.6,454.1,532.2,763.5,789.7,1035.2,391.9,161.9
"1638_at","U11732","ETV6","ets variant 6",12,6,36.2,107.5,22.3,59.9,311,53.5,14.6,26.8,10.4,16.3,11,18.9,26.7
"1639_s_at","U15642","E2F5","E2F transcription factor 5, p130-binding",8,86.7,35.2,109.1,12,527.2,250.5,327.7,109.3,145.5,50.1,37.3,52.9,89.1,129.1
"163_at","U46461","DVL1","dishevelled, dsh homolog 1 (Drosophila)",1,80.4,484.6,179.8,136.9,126.3,122.5,500.7,118.4,370.4,63.3,84.5,190.3,285.6,281.8
"1640_at","U17714","ST13","suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)",22,2365.1,706.6,488.1,416.9,525.4,552.7,560.9,1576.3,1872,1244.3,1318.3,1308.4,1908.8,1050.7
"1641_s_at","U32986","DDB1","damage-specific DNA binding protein 1, 127kDa",11,893.4,1353.4,1137,605.6,2112.6,1266.4,1418.5,2220,3037.2,1574.5,1675.1,1197.3,3187,2111.4
"1642_at","U35113","MTA1","metastasis associated 1",14,301.4,1255.7,396.1,560.4,564.1,798.3,645.6,822.2,997.4,225.8,57.2,339.6,1213.7,685.6
"1643_g_at","U35113","MTA1","metastasis associated 1",14,1000.8,369.9,280.8,492.1,273.7,806.8,707.9,2229.4,2926.3,2306.2,1105.1,456.5,2357.3,913.7
"1644_at","U36764","EIF3I","eukaryotic translation initiation factor 3, subunit I",1,512.7,202.1,914,135.7,424.1,397.1,640.9,827.6,860.2,141.9,140,390.4,786,489
"1645_at","U43527","KISS1","KiSS-1 metastasis-suppressor",1,76.6,564.4,1060.9,489,849.3,618.8,456.3,126.2,54.2,75.6,18.7,84.2,96.8,113.9
"1646_at","U45880","XIAP","X-linked inhibitor of apoptosis","X",101.5,67.7,112.2,35.8,90.8,57.9,52.8,20.1,28.8,12.5,53.3,60,12.1,20.2
"1647_at","U51903","IQGAP2","IQ motif containing GTPase activating protein 2",5,227.8,463.6,611.4,160,808.9,386,301.5,538,317.4,111.5,117.5,224,159.7,94.1
"1648_at","U60805","OSMR","oncostatin M receptor",5,2.5,27.9,542.7,34.3,267.5,64.8,9.6,23.5,42.5,6.1,22.9,14.9,21,30.8
"1649_at","U61836","SMOX","spermine oxidase",20,135,875.4,700.9,301.4,501.2,378.4,702.2,463.9,440.4,138.8,29.8,142.9,382.7,173.7
"164_at","U47931","GNB3","guanine nucleotide binding protein (G protein), beta polypeptide 3",12,89.6,1355.6,1549.7,651.7,436.9,281.6,207.8,214.5,325.9,95,203.4,78.4,58.1,45.4
"1650_g_at","U61836","SMOX","spermine oxidase",20,2213.2,409.3,400.3,1725.1,404.4,326.4,492.5,1837.2,674.7,1201.8,1018.8,136.8,510.4,103.5
"1651_at","U73379","UBE2C","ubiquitin-conjugating enzyme E2C",20,1367.6,202.1,55.2,499,107.8,477.1,819.6,4252.7,530.8,1650.4,2594.1,92.8,789.9,1138.5
"1652_at","U77735","PIM2","pim-2 oncogene","X",85.2,152.5,137.3,558.9,953.1,166.1,766.3,243.2,315.4,266.3,237.2,243.9,200.1,97.4
"1653_at","M84711","RPS3A","ribosomal protein S3A",4,29625.5,5169.1,35.2,3386.3,682.9,3331.7,13348.6,10222,18843.2,6512.6,14151.8,11480.4,18326.7,33992.5
"1654_at","M95712","BRAF","v-raf murine sarcoma viral oncogene homolog B1",7,48.3,60.9,67.7,691.7,131.2,404.2,102.6,69.8,22.3,47.2,130.3,36,28,54.9
"1655_s_at","S76978","FOLH1","folate hydrolase (prostate-specific membrane antigen) 1",11,4.6,33,384,26,53.1,36.6,19.6,3.7,43.5,4.3,4.5,13.6,7.3,8.2
"1656_s_at","U07563","ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",9,110.6,115.8,60.2,39.3,91.9,51.2,67.8,25.1,64.2,13,15.7,29,132.7,55.8
"1657_at","D64053","PTPRR","protein tyrosine phosphatase, receptor type, R",12,3.7,71.7,143.7,299.6,127.5,259.4,124.9,88.7,9.5,40.5,11.8,101.9,17.5,7.3
"1658_g_at","D64053","PTPRR","protein tyrosine phosphatase, receptor type, R",12,104.3,275.2,69.5,110.8,831.5,137.8,522.1,30.5,30.2,45.7,7.8,90.5,49.4,23
"1659_s_at","D78132","RHEB","Ras homolog enriched in brain",7,1000.1,73.8,147.7,20.7,223.6,41.5,264.5,1075.7,1357.6,1727.7,291.4,1314.2,509.4,264.9
"165_g_at","U47931","GNB3","guanine nucleotide binding protein (G protein), beta polypeptide 3",12,9.2,66.5,38.6,24.2,29.2,22.5,21.9,10.8,6.4,5.5,11.1,12.6,8.5,19.5
"1660_at","D83004","UBE2N","ubiquitin-conjugating enzyme E2N",12,224.6,107.9,67.1,174.1,68.3,76.5,166.1,450.8,771.6,303.2,98.2,99.1,383.9,375.4
"1661_i_at","HG2261-HT2351","KLK3","kallikrein-related peptidase 3",19,246.5,1293.3,1018.2,326.5,1683.2,930,778.2,191.8,187.5,187.1,125.8,370.1,114.2,141.7
"1662_r_at","HG2261-HT2351","NA","NA","NA",72.3,3135.5,387.6,191.2,5142.6,2032.7,2763.6,79.9,402.1,69.1,70.4,3053.2,400,169.5
"1663_at","HG2325-HT2421","RARG","retinoic acid receptor, gamma",12,326.6,1072,352,1421.7,2090.3,797.7,1153.2,128.1,229.4,84.9,202.6,364,171.9,80.2
"1664_at","HG3543-HT3739","NA","NA","NA",851.2,833,1142.2,782.9,1512.2,1021.1,777.4,405.9,365.1,1058.1,698.9,483.3,170.8,537.9
"1665_s_at","HG544-HT544","TYMP","thymidine phosphorylase",22,20.3,90.2,700,175.1,55.5,53,366,22.9,25.6,35.5,723.2,743.9,17.4,17.1
"1666_at","J00210","IFNA1","interferon, alpha 1",9,58.5,450.7,351,48,382,336,350.3,56.5,34.7,41.4,57.7,107.2,37.4,23
"1667_s_at","J02871","CYP4B1","cytochrome P450, family 4, subfamily B, polypeptide 1",1,963.3,1472.6,1600.4,795,2356.2,1104.3,1589.7,595.3,874.8,541,699.3,3781.5,289.6,443
"1668_s_at","L15409","VHL","von Hippel-Lindau tumor suppressor",3,203.2,128.7,509.6,62.7,211.3,154.9,96,118.9,136.7,16.9,43.8,45.5,196.1,108.2
"1669_at","L20861","WNT5A","wingless-type MMTV integration site family, member 5A",3,286.6,197.3,75.1,399.2,341.9,237.7,227.4,597.4,197.5,106.2,195.1,112.5,738.9,299.3
"166_at","U48405","GPR68","G protein-coupled receptor 68",14,81.5,261.2,869.1,908.7,774.5,159,639.3,221.9,265.9,195.5,237.2,85.2,244.6,168.3
"1670_at","L23959","TFDP1","transcription factor Dp-1",13,17.6,59.1,84.1,86.4,143.3,72.2,40.8,102.1,493.4,19.4,11,22.1,159.8,26.1
"1671_s_at","L35253","MAPK14","mitogen-activated protein kinase 14",6,205.2,1216.7,1119.1,828.4,1615.8,1181,1296.1,256,302.1,207.5,147,285.9,350.1,191.2
"1672_f_at","L41913","RB1","retinoblastoma 1",13,4,15.7,30.5,57.7,28,18.4,16,3.5,4.8,2.2,4.3,8.1,6,7.3
"1673_at","M14764","NGFR","nerve growth factor receptor",17,2097.2,1444.8,1431.2,1685.1,1305.2,1236.8,1290.6,881,795,1010.3,1062.4,431.5,419.4,433.2
"1674_at","M15990","YES1","v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1",18,80.1,513.9,595.4,306.9,686.4,326.1,324.7,828.4,672.3,218.5,17.2,214.2,291.5,63.9
"1675_at","M23379","RASA1","RAS p21 protein activator (GTPase activating protein) 1",5,1155.7,359.2,347.6,552.7,1016.6,593.5,446.6,989.7,2457.3,1907.8,1110.8,573.1,1207.2,1557.4
"1676_s_at","M55409","EEF1G","eukaryotic translation elongation factor 1 gamma",11,31656,5772.9,1822.5,30695.1,1404.2,7339.3,9050.1,11433.2,21669.1,13921.9,19110.9,9802.1,21702.5,39355.9
"1677_at","M65062","IGFBP5","insulin-like growth factor binding protein 5",2,135.2,65.7,115.4,183,296.8,168.9,271.3,105.8,100.9,208.2,112.3,134.4,50.2,130.2
"1678_g_at","M65062","IGFBP5","insulin-like growth factor binding protein 5",2,8.9,137.7,161,132.7,36.8,33.5,19.9,2.8,19.9,98.5,8.2,8.6,4.6,14.6
"1679_at","D38503","GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",4,52.7,14.7,227.2,110.4,30.7,277,10.5,6,10.6,2.9,9.8,86.8,3.2,5.4
"167_at","U49436","EIF5","eukaryotic translation initiation factor 5",14,717.9,541.2,465,340.2,86.4,209.2,137.5,436,666.1,348.7,454.4,285.2,580.5,428.3
"1680_at","D43772","GRB7","growth factor receptor-bound protein 7",17,420.1,1948.2,747.6,149.5,1812.2,1161.6,1249.2,360.1,538.9,387.1,478.9,853.9,275.2,56.2
"1681_at","X03635","ESR1","estrogen receptor 1",6,354,1331.5,1013,596.2,1734.9,1244,727.3,264.4,377.4,265.3,357.6,415.9,237.3,519.4
"1682_s_at","X58723","ABCB1","ATP-binding cassette, sub-family B (MDR/TAP), member 1",7,19,122.1,125.5,63.1,185.5,104.3,85.3,27.1,29.2,22.5,47.2,30.9,19.5,71.2
"1683_at","X69950","WT1-AS","WT1 antisense RNA (non-protein coding)",11,253.4,2449.1,326.6,238.6,321.7,480.7,579.9,37.6,251.9,42.6,215.1,339.9,35,77.6
"1684_s_at","X69950","WT1","Wilms tumor 1",11,250.6,1012,311.4,227.4,1172.3,853.2,642.1,157,278.6,140.1,268.8,296.3,175.3,179
"1685_at","X82554","NA","NA","NA",110.9,161,233.8,20,305,119.8,263.1,74.2,93.9,151.6,64.2,145.9,42.2,205.9
"1686_g_at","X82554","NA","NA","NA",605.9,94.5,1120.5,346.9,88.5,90.5,206.7,414.6,271.1,795.6,299.9,609.8,51.3,355.5
"1687_s_at","X84213","BAK1","BCL2-antagonist/killer 1",6,21.2,81.8,69.5,40.4,193.9,122.9,128.3,14.4,60.4,14.1,20.4,33.8,41.7,37
"1688_s_at","X87843","MNAT1","menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)",14,241.8,128.9,168.4,88.5,666.9,460.1,457,251.4,273.6,252.8,168.5,217.5,159.9,161.8
"1689_at","AB000895","DCHS1","dachsous 1 (Drosophila)",11,353.8,655.6,179.5,805,464,351.9,795.8,282,284,260.9,278.9,94.3,248.8,243.2
"168_at","U50196","ADK","adenosine kinase",10,88.5,104.1,983.9,65.5,35.7,236.1,117.1,45.9,51.4,103.8,55.8,139.1,60.2,80.3
"1690_at","AB000896","PCDHGB4","protocadherin gamma subfamily B, 4",5,13.8,392.2,230.9,126.6,100.2,65.8,56.7,33.7,25,31.6,17.1,91.6,13.5,17.5
"1691_at","AB000897","PCDHGA12","protocadherin gamma subfamily A, 12",5,14,30.7,208.4,80.1,70.8,44.5,19.8,20.2,10.2,12.9,22.5,39.5,12.2,15.1
"1692_s_at","AF002700","GFRA2","GDNF family receptor alpha 2",8,68.8,179.6,780.6,257.1,171.2,97.5,79.1,72.7,326.6,16.2,36.3,25.2,239.4,20
"1693_s_at","D11139","TIMP1","TIMP metallopeptidase inhibitor 1","X",8787,14072.6,1212.1,27762.6,204.5,1205,15808.1,5855.7,3934.6,3830.8,25006.5,1486.7,3969.8,3119.2
"1694_s_at","D13413","HNRNPU","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)",1,5,37.5,320.8,295.7,33.6,46.2,62.3,23.2,47.1,4.5,18.8,12.4,51.6,73.7
"1695_at","D23662","NEDD8","neural precursor cell expressed, developmentally down-regulated 8",14,3532.8,1413.9,1389.7,1598.1,1037.3,831,1808.1,2589.1,2593.6,2355.5,2513.1,1891.5,3020.8,1499.1
"1696_at","D29013","POLB","polymerase (DNA directed), beta",8,204.5,337.6,1039.2,235,168.4,448.1,264.5,413,430.3,325.5,196.3,154.8,352.2,351.2
"1697_s_at","D37781","PTPRJ","protein tyrosine phosphatase, receptor type, J",11,3.7,53.8,57.8,24.6,26.6,40.9,14.8,5.3,2.9,3.6,4.1,12.8,4.6,12.6
"1698_g_at","U71087","MAP2K5","mitogen-activated protein kinase kinase 5",15,178.4,60.7,30.3,95.6,64,413.2,86.9,266.4,546.6,52.1,108.4,175.4,386,341.2
"1699_at","U71088","MAP2K5","mitogen-activated protein kinase kinase 5",15,53.5,491.9,799,57.2,686.5,321.9,124.7,11.5,71.4,41,28.1,184.6,45.4,189
"169_at","U51095","CDX1","caudal type homeobox 1",5,162.1,362.9,191.5,205.4,136.3,421.5,389.8,34.1,30,64.2,84.3,100.5,24.9,56.4
"1700_at","U82987","BBC3","BCL2 binding component 3",19,384.9,733.6,647.6,785.5,1357.7,1123.9,1367.4,273.2,686.1,550.5,576.6,629.2,423.9,622.4
"1701_at","U86136","TEP1","telomerase-associated protein 1",14,17.7,312.3,72.7,54.1,333.9,261,487.4,42.2,63,83.6,48.6,56.9,83.3,68.6
"1702_at","X01057","IL2RA","interleukin 2 receptor, alpha",10,52.7,31.1,391.9,25.1,233.5,21.5,24.9,25.9,12.5,4.6,11.1,34.1,9.4,37.1
"1703_g_at","S75174","E2F4","E2F transcription factor 4, p107/p130-binding",16,140.4,820.2,852.6,223.9,1386.2,75.1,380.9,305.1,655.7,121.9,96,217.5,328.6,354.5
"1704_at","S76992","VAV2","vav 2 guanine nucleotide exchange factor",9,57.3,1730.3,195.3,113.2,1617.8,889.5,1143.2,64.8,50.9,58.6,132.9,104.3,205,174.3
"1705_s_at","S82362","LOC100130354","hypothetical protein LOC100130354",3,42.7,45.4,345.7,44.2,49.5,59.1,134.5,49.2,18.6,9.7,12.6,19.5,13.3,94.3
"1706_at","U01337","ARAF","v-raf murine sarcoma 3611 viral oncogene homolog","X",3349,2733.2,3587.1,16701.2,2200.9,2348.5,2132.4,1797.3,1178.4,1850.8,4583.7,2648.6,1604.4,1066.9
"1707_g_at","U01337","ARAF","v-raf murine sarcoma 3611 viral oncogene homolog","X",400.5,1290.7,584.4,1696.9,1988.3,875.7,767.2,927.1,840.1,427.9,803.8,938.2,945.3,710.9
"1708_at","U07620","MAPK10","mitogen-activated protein kinase 10",4,198.9,375.7,637,323.5,988.3,199.8,365.5,131.8,373.9,124.7,42,133.2,278.3,139.8
